Division,Line,Borough,Stop Name,Complex ID,Constituent Station Name,Station ID,GTFS Stop ID,Daytime Routes,Entrance Type,Entry Allowed,Exit Allowed,Latitude,Longitude,entrance_georeference
BMT,Jamaica,Q,121 St,80,121 St,80,J12,J Z,Stair,YES,YES,40.7002829,-73.8292737,POINT (-73.8292737 40.7002829)
BMT,Jamaica,Q,121 St,80,121 St,80,J12,J Z,Stair,YES,YES,40.7005457,-73.8292418,POINT (-73.8292418 40.7005457)
BMT,Jamaica,Q,121 St,80,121 St,80,J12,J Z,Stair,YES,YES,40.7008371,-73.8273926,POINT (-73.8273926 40.7008371)
BMT,Jamaica,Q,121 St,80,121 St,80,J12,J Z,Stair,YES,YES,40.7006174,-73.827227,POINT (-73.827227 40.7006174)
BMT,Jamaica,Q,111 St,81,111 St,81,J13,J,Stair,YES,YES,40.697088,-73.8371692,POINT (-73.8371692 40.697088)
BMT,Jamaica,Q,111 St,81,111 St,81,J13,J,Stair,YES,YES,40.69678,-73.8370353,POINT (-73.8370353 40.69678)
BMT,Jamaica,Q,104 St,82,104 St,82,J14,J Z,Stair,YES,YES,40.695033,-73.843298,POINT (-73.843298 40.695033)
BMT,Jamaica,Q,104 St,82,104 St,82,J14,J Z,Stair,YES,YES,40.695267,-73.843223,POINT (-73.843223 40.695267)
BMT,Jamaica,Q,Woodhaven Blvd,83,Woodhaven Blvd,83,J15,J Z,Stair,YES,YES,40.6935603,-73.8526132,POINT (-73.8526132 40.6935603)
BMT,Jamaica,Q,Woodhaven Blvd,83,Woodhaven Blvd,83,J15,J Z,Stair,YES,YES,40.6934785,-73.8525673,POINT (-73.8525673 40.6934785)
BMT,Jamaica,Q,Woodhaven Blvd,83,Woodhaven Blvd,83,J15,J Z,Stair,YES,YES,40.694077,-73.850476,POINT (-73.850476 40.694077)
BMT,Jamaica,Q,85 St-Forest Pkwy,84,85 St-Forest Pkwy,84,J16,J,Stair,YES,YES,40.6926897,-73.8590944,POINT (-73.8590944 40.6926897)
BMT,Jamaica,Q,85 St-Forest Pkwy,84,85 St-Forest Pkwy,84,J16,J,Stair,YES,YES,40.6923737,-73.8589533,POINT (-73.8589533 40.6923737)
BMT,Jamaica,Q,75 St-Elderts Ln,85,75 St-Elderts Ln,85,J17,J Z,Stair,YES,YES,40.691479,-73.86661,POINT (-73.86661 40.691479)
BMT,Jamaica,Q,75 St-Elderts Ln,85,75 St-Elderts Ln,85,J17,J Z,Stair,YES,YES,40.691285,-73.866425,POINT (-73.866425 40.691285)
BMT,Jamaica,B,Cypress Hills,86,Cypress Hills,86,J19,J,Stair,YES,YES,40.689596,-73.873555,POINT (-73.873555 40.689596)
BMT,Jamaica,B,Cypress Hills,86,Cypress Hills,86,J19,J,Stair,YES,YES,40.68947,-73.873449,POINT (-73.873449 40.68947)
BMT,Jamaica,B,Cypress Hills,86,Cypress Hills,86,J19,J,Stair,YES,YES,40.690142,-73.87163,POINT (-73.87163 40.690142)
BMT,Jamaica,B,Crescent St,87,Crescent St,87,J20,J Z,Stair,YES,YES,40.6836199,-73.8726013,POINT (-73.8726013 40.6836199)
BMT,Jamaica,B,Crescent St,87,Crescent St,87,J20,J Z,Stair,YES,YES,40.683494,-73.872528,POINT (-73.872528 40.683494)
BMT,Jamaica,B,Norwood Av,88,Norwood Av,88,J21,J Z,Stair,YES,YES,40.6817899,-73.8790283,POINT (-73.8790283 40.6817899)
BMT,Jamaica,B,Norwood Av,88,Norwood Av,88,J21,J Z,Stair,YES,YES,40.681659,-73.878984,POINT (-73.878984 40.681659)
BMT,Jamaica,B,Cleveland St,89,Cleveland St,89,J22,J,Stair,YES,YES,40.67968,-73.885709,POINT (-73.885709 40.67968)
BMT,Jamaica,B,Cleveland St,89,Cleveland St,89,J22,J,Stair,YES,YES,40.67957,-73.8856535,POINT (-73.8856535 40.67957)
BMT,Jamaica,B,Van Siclen Av,90,Van Siclen Av,90,J23,J Z,Stair,YES,YES,40.6777892,-73.8916915,POINT (-73.8916915 40.6777892)
BMT,Jamaica,B,Van Siclen Av,90,Van Siclen Av,90,J23,J Z,Stair,YES,YES,40.6778044,-73.8915527,POINT (-73.8915527 40.6778044)
BMT,Jamaica,B,Alabama Av,91,Alabama Av,91,J24,J Z,Stair,YES,YES,40.6767708,-73.8999078,POINT (-73.8999078 40.6767708)
BMT,Jamaica,B,Alabama Av,91,Alabama Av,91,J24,J Z,Stair,YES,YES,40.6768239,-73.8995113,POINT (-73.8995113 40.6768239)
BMT,Jamaica,B,Chauncey St,93,Chauncey St,93,J28,J Z,Stair,YES,YES,40.683335,-73.911394,POINT (-73.911394 40.683335)
BMT,Jamaica,B,Chauncey St,93,Chauncey St,93,J28,J Z,Stair,YES,YES,40.683456,-73.91128,POINT (-73.91128 40.683456)
BMT,Jamaica,B,Halsey St,94,Halsey St,94,J29,J,Stair,YES,YES,40.6858697,-73.9158126,POINT (-73.9158126 40.6858697)
BMT,Jamaica,B,Halsey St,94,Halsey St,94,J29,J,Stair,YES,YES,40.685981,-73.9156897,POINT (-73.9156897 40.685981)
BMT,Jamaica,B,Gates Av,95,Gates Av,95,J30,J Z,Stair,YES,YES,40.6900429,-73.9231697,POINT (-73.9231697 40.6900429)
BMT,Jamaica,B,Gates Av,95,Gates Av,95,J30,J Z,Stair,YES,YES,40.6901596,-73.9230571,POINT (-73.9230571 40.6901596)
BMT,Jamaica,B,Kosciuszko St,96,Kosciuszko St,96,J31,J,Stair,YES,YES,40.692935,-73.928247,POINT (-73.928247 40.692935)
BMT,Jamaica,B,Kosciuszko St,96,Kosciuszko St,96,J31,J,Stair,YES,YES,40.692934,-73.927936,POINT (-73.927936 40.692934)
BMT,Jamaica,B,Myrtle Av,97,Myrtle Av,97,M11,M J Z,Stair,YES,YES,40.6970278,-73.9355833,POINT (-73.9355833 40.6970278)
